IDs         length   Exptl.  resolution  R-factor FreeRvalue
4HJIA       175      XRAY        1.600    0.22    0.25
3FYMA       130      XRAY        1.000    0.11    0.14
3H0NA       188      XRAY        1.450    0.14    0.16
2ZCMA       192      XRAY        1.330    0.19    0.22
4GOFA        52      XRAY        1.350    0.18    0.20
3N6ZA       363      XRAY        1.300    0.14    0.16
5AIMA       100      XRAY        1.400    0.18    0.20
1C4QA        69      XRAY        1.520    0.17    0.19
3VZ9B       106      XRAY        1.030    0.19    0.21
3CUZA       532      XRAY        1.040    0.15    0.17
3H87C        73      XRAY        1.490    0.16    0.17
1C7KA       132      XRAY        1.000    0.15    0.18
5SY4A       199      XRAY        0.980    0.11    0.13
4MC3A       346      XRAY        1.500    0.14    0.19
4X9YA       496      XRAY        1.070    0.11    0.13
2FSQA       243      XRAY        1.400    0.16    0.20
3F6YA       262      XRAY        1.450    0.15    0.18
3VEJA        41      XRAY        1.230    0.18    0.20
4XPXA       130      XRAY        1.030    0.16    0.17
1IFRA       121      XRAY        1.400    0.22    1.00
4I71A       330      XRAY        1.280    0.13    0.15
5CL8A       241      XRAY        1.380    0.13    0.16
3CCDA        85      XRAY        1.000    0.19    0.20
4JN7A       395      XRAY        1.150    0.14    0.14
4EAEA       190      XRAY        1.320    0.16    0.18
2CCVA       101      XRAY        1.300    0.14    0.18
4EQAC       153      XRAY        1.600    0.17    0.21
5C2UA       143      XRAY        1.550    0.18    0.20
4K82A       217      XRAY        1.600    0.19    0.24
2AYDA        76      XRAY        1.600    0.18    0.20
4HS1A        85      XRAY        0.870    0.13    0.14
5JIGA       127      XRAY        1.000    0.14    0.17
3NNBA       382      XRAY        1.600    0.14    0.17
4JZZA       376      XRAY        1.490    0.17    0.19
5GZDA       148      XRAY        1.190    0.20    0.21
1Y43B       173      XRAY        1.400    0.20    0.23
3X0IA       170      XRAY        0.910    0.14    1.00
4HWVA       503      XRAY        1.370    0.13    0.15
1OI6A       205      XRAY        1.400    0.13    0.17
3P0KA       266      XRAY        1.470    0.21    0.23
4NI6A       150      XRAY        1.100    0.18    0.21
4W6YA       151      XRAY        1.570    0.20    0.23
2HW2A       143      XRAY        1.450    0.14    0.18
4G4KA       103      XRAY        1.520    0.18    0.21
2INWA       133      XRAY        1.500    0.23    0.25
3T2CA       407      XRAY        1.300    0.11    0.13
4NOHA       169      XRAY        1.500    0.16    0.20
1F2TA       149      XRAY        1.600    0.19    0.23
4UMIA       208      XRAY        1.330    0.12    0.14
3FCNA       164      XRAY        1.450    0.16    0.18
4G78A       152      XRAY        0.920    0.12    0.15
2J9WA       102      XRAY        1.300    0.20    0.23
4MTUA       144      XRAY        0.970    0.15    0.16
1DJ7A       117      XRAY        1.600    0.26    0.28
4D6GA       599      XRAY        1.240    0.12    0.13
2OFZA       138      XRAY        1.170    0.16    0.19
4TZ1A       549      XRAY        1.500    0.10    0.12
4PHRA       277      XRAY        1.340    0.15    0.19
4GA2A       150      XRAY        0.950    0.18    0.20
2W6AA        63      XRAY        1.400    0.16    0.20
3C9AA       223      XRAY        1.600    0.20    0.24
2V76A       107      XRAY        1.600    0.19    0.22
4GQ4A       489      XRAY        1.270    0.15    0.18
4HROA        90      XRAY        1.150    0.17    0.17
2OMLA       189      XRAY        1.200    0.15    0.18
4V0WB        44      XRAY        1.550    0.17    0.20
4YORA       229      XRAY        1.520    0.16    0.18
3FSOA       123      XRAY        1.410    0.18    0.21
3V1AA        48      XRAY        0.980    0.10    0.11
4KT3B       137      XRAY        1.440    0.15    0.17
4TKCA       120      XRAY        1.290    0.16    0.21
3BUUA       229      XRAY        1.200    0.16    0.19
4Q4W4        69      XRAY        1.400    0.15    1.00
4WY4D        65      XRAY        1.400    0.14    0.18
3S83A       259      XRAY        1.340    0.17    0.20
4DQJA       173      XRAY        1.230    0.15    0.17
4ZMKA        71      XRAY        1.500    0.16    0.20
5CEGB       117      XRAY        1.590    0.17    0.20
3T4LA       270      XRAY        1.530    0.18    0.20
2XUVA        79      XRAY        1.500    0.18    0.20
3IP0A       158      XRAY        0.890    0.13    0.13
2WNPF       217      XRAY        1.210    0.18    0.19
2JG0A       535      XRAY        1.500    0.15    0.19
2R751       338      XRAY        1.400    0.14    0.18
2Y8YA       215      XRAY        1.440    0.18    0.20
3BOEA       210      XRAY        1.400    0.17    0.19
1I27A        73      XRAY        1.020    0.13    0.15
1ZV1A        65      XRAY        1.600    0.21    0.26
4R9PA       242      XRAY        1.590    0.18    0.20
5JRYA       485      XRAY        1.200    0.11    0.13
3EERA       148      XRAY        1.450    0.14    0.16
3BWZA       181      XRAY        1.200    0.12    0.15
2ZPTX       295      XRAY        1.150    0.15    0.16
2VNGA       180      XRAY        1.400    0.19    0.23
1GKMA       509      XRAY        1.000    0.12    0.14
4BK7A       159      XRAY        1.140    0.14    0.17
4F1VA       381      XRAY        0.880    0.13    0.14
1PMHX       185      XRAY        1.060    0.20    0.17
2OY9A        98      XRAY        1.600    0.21    0.22
5LJXA       495      XRAY        1.400    0.19    0.21
3PIWA       161      XRAY        1.490    0.14    0.19
5C30A       201      XRAY        1.550    0.15    0.17
1V5IB        76      XRAY        1.500    0.18    0.19
4CDPA       354      XRAY        1.450    0.14    0.17
5BTYA       138      XRAY        1.150    0.17    0.19
3ZOQB        56      XRAY        1.450    0.14    0.18
2CXYA       125      XRAY        1.600    0.19    0.20
2VE8A        73      XRAY        1.400    0.15    0.19
1VMHA       144      XRAY        1.310    0.16    0.18
5MPWA       115      XRAY        1.500    0.16    0.19
4JG2A       208      XRAY        1.300    0.13    0.16
1PQHA       143      XRAY        1.290    0.15    0.17
2RIVB        40      XRAY        1.500    0.19    0.21
2CC6A        68      XRAY        1.270    0.21    0.23
3OBLA       132      XRAY        1.200    0.14    0.17
2YFOA       720      XRAY        1.350    0.12    0.14
2QFAC        47      XRAY        1.400    0.19    0.20
3AYJA       721      XRAY        1.100    0.11    0.13
2ODIA       238      XRAY        1.450    0.17    0.20
2VC8A        84      XRAY        1.310    0.20    0.23
2F60K        64      XRAY        1.550    0.21    0.22
1GCIA       269      XRAY        0.780    0.10    0.10
4PI8A       228      XRAY        1.390    0.15    0.17
5JVIE       316      XRAY        1.120    0.10    0.12
2F9HA       129      XRAY        1.570    0.17    0.23
5B1AJ        59      XRAY        1.500    0.15    0.17
3UI4A       101      XRAY        0.800    0.10    0.10
4ZQXA       237      XRAY        1.460    0.11    0.15
3N08A       153      XRAY        1.250    0.15    0.17
5B8DA       107      XRAY        1.050    0.13    0.15
2OB3A       330      XRAY        1.040    0.10    0.13
4EKFA       204      XRAY        0.980    0.14    0.17
2X9ZA       262      XRAY        1.300    0.15    0.18
1W23A       360      XRAY        1.080    0.12    0.14
5EXHC        47      XRAY        1.300    0.17    0.19
3VWCA       149      XRAY        1.500    0.20    0.23
5DWAA       278      XRAY        1.500    0.15    0.18
4LZXB        40      XRAY        1.500    0.15    0.19
3Q6BA       189      XRAY        1.500    0.15    0.19
5AZWA        96      XRAY        1.500    0.22    0.23
4GJZA       235      XRAY        1.050    0.15    0.16
5K2LA        49      XRAY        1.200    0.14    0.18
1M2DA       110      XRAY        1.050    0.14    0.16
1N08A       163      XRAY        1.600    0.22    0.25
5B1AC       261      XRAY        1.500    0.15    0.17
1V0WA       506      XRAY        1.350    0.16    0.19
5B42A       102      XRAY        1.350    0.14    0.18
4E3YA       245      XRAY        0.950    0.13    0.14
4IQBA       315      XRAY        1.130    0.12    0.14
3QZRA       187      XRAY        1.040    0.16    0.16
1GP0A       143      XRAY        1.400    0.21    0.24
5A6MA       409      XRAY        1.170    0.12    0.14
4P40A       425      XRAY        1.200    0.14    0.16
1K4IA       233      XRAY        0.980    0.18    0.20
1EUWA       152      XRAY        1.050    0.14    0.16
3TOWA       152      XRAY        1.340    0.17    0.19
5IODA       143      XRAY        1.600    0.19    0.23
2XW6A       134      XRAY        1.080    0.13    0.16
5I0YA       160      XRAY        1.400    0.19    0.21
5EDFA       244      XRAY        1.400    0.17    0.19
2VXNA       251      XRAY        0.820    0.09    0.10
3ZOJA       279      XRAY        0.880    0.10    0.11
2CE2X       166      XRAY        1.000    0.14    0.16
5AGRA       232      XRAY        1.300    0.17    0.20
1H4XA       117      XRAY        1.160    0.13    0.16
5B5ZA       282      XRAY        1.600    0.18    0.21
4H6CA       195      XRAY        1.350    0.14    0.17
1KJQA       391      XRAY        1.050    0.19    0.21
2FCOA       200      XRAY        1.400    0.22    0.23
4YWAA       121      XRAY        1.190    0.19    0.20
1VJUA       309      XRAY        1.400    0.15    0.18
2O2KA       355      XRAY        1.600    0.21    0.25
4RWUA        92      XRAY        1.250    0.12    0.15
5EZUA        89      XRAY        1.550    0.20    0.24
1NC7A       138      XRAY        1.550    0.17    0.19
1XBIA       120      XRAY        1.450    0.18    0.19
5DP2A       342      XRAY        0.960    0.12    0.13
4L9UA        56      XRAY        1.600    0.20    0.23
1V05A        96      XRAY        1.430    0.19    0.20
2QFEA       148      XRAY        1.450    0.19    0.21
5KTNA       304      XRAY        1.340    0.12    0.15
3U9WA       608      XRAY        1.250    0.13    0.16
5KZZA       127      XRAY        1.330    0.16    0.19
3RZNA       209      XRAY        1.100    0.14    0.16
5COWA       247      XRAY        1.600    0.17    0.19
3AWUB       134      XRAY        1.160    0.14    0.17
5A12A       242      XRAY        1.400    0.12    0.15
4D8BA       261      XRAY        1.060    0.14    0.16
2QIPA       165      XRAY        1.480    0.16    0.18
2CNQA       306      XRAY        1.000    0.12    0.13
5M72B        71      XRAY        1.600    0.14    0.18
5TVOB        59      XRAY        1.480    0.16    0.20
2GRRB       170      XRAY        1.300    0.20    0.22
4Y1WA       239      XRAY        1.400    0.16    0.18
4U5HA        90      XRAY        1.580    0.20    0.21
1DI6A       195      XRAY        1.450    0.19    0.21
4NLMA       363      XRAY        1.180    0.15    0.18
4REKA       499      XRAY        0.740    0.11    0.12
4AFFA       116      XRAY        1.050    0.13    0.14
2CI1A       275      XRAY        1.080    0.11    0.14
1XSZA       356      XRAY        1.410    0.20    0.23
3E4GA       176      XRAY        0.960    0.14    0.16
2GUDA       122      XRAY        0.940    0.14    0.16
3PF6A        62      XRAY        1.600    0.14    0.17
5LKBA       378      XRAY        1.450    0.17    0.19
4Y2FA       149      XRAY        1.400    0.18    0.20
1J0PA       108      XRAY        0.910    0.11    0.14
5ARMA       133      XRAY        1.190    0.14    0.17
5CWHA       172      XRAY        1.300    0.16    0.18
4H2GA       546      XRAY        1.550    0.13    0.18
1SFSA       240      XRAY        1.070    0.10    0.14
5JDKA       137      XRAY        1.000    0.17    0.18
3WVTA       189      XRAY        1.600    0.20    0.20
5DMDA       151      XRAY        1.450    0.21    0.24
4NYQA       164      XRAY        1.200    0.15    0.19
1S1DA       331      XRAY        1.600    0.17    0.19
4KH8A       318      XRAY        1.600    0.14    0.17
1R6XA       395      XRAY        1.400    0.20    0.22
3CJSA        59      XRAY        1.370    0.18    0.21
5HOCA        50      XRAY        1.360    0.23    0.25
1MWQA       101      XRAY        0.990    0.11    0.13
3NVSA       450      XRAY        1.020    0.12    0.14
2V8FA       140      XRAY        1.100    0.15    0.17
4ZVFA       172      XRAY        1.150    0.14    0.17
4ZW9A       518      XRAY        1.500    0.18    0.20
4IYAA       292      XRAY        1.550    0.17    0.19
2RFFA       111      XRAY        1.400    0.15    0.19
5F4CA        93      XRAY        1.400    0.14    0.18
4FS7A       394      XRAY        1.190    0.13    0.16
1Z3EB        73      XRAY        1.500    0.20    0.22
2C4WA       176      XRAY        1.550    0.16    0.19
5HBPA       127      XRAY        1.500    0.17    0.18
4Y0GA        90      XRAY        1.600    0.15    0.18
2UU8A       237      XRAY        0.940    0.12    0.14
1ZKEA        83      XRAY        1.600    0.20    0.23
2W1RA       123      XRAY        1.500    0.22    0.24
2HS1A        99      XRAY        0.840    0.12    0.15
1XDNA       277      XRAY        1.200    0.13    0.15
2IXMA       303      XRAY        1.500    0.20    0.22
4R03A       109      XRAY        1.500    0.17    0.19
1JI7A        89      XRAY        1.450    0.18    0.20
2BOGX       286      XRAY        1.040    0.15    0.17
3BRCA       156      XRAY        1.600    0.19    0.24
1N62B       809      XRAY        1.090    0.14    0.17
4FZLA       247      XRAY        1.460    0.15    0.20
1NWZA       125      XRAY        0.820    0.12    0.14
4TYZA       110      XRAY        1.600    0.16    0.19
2ZNRA       178      XRAY        1.200    0.15    0.17
3X0TA       119      XRAY        1.170    0.13    0.17
4PF3A       275      XRAY        1.100    0.15    0.18
1X9IA       302      XRAY        1.160    0.15    0.16
3S9XA       159      XRAY        1.350    0.14    0.17
3ZRXA       115      XRAY        1.250    0.15    0.20
2FCWA       109      XRAY        1.260    0.15    0.20
5AE0A       221      XRAY        1.040    0.13    0.16
1M4LA       307      XRAY        1.250    0.10    0.14
2Y78A       133      XRAY        0.910    0.11    0.12
3IB5A       348      XRAY        1.350    0.15    0.18
3D1PA       139      XRAY        0.980    0.11    0.12
1K7CA       233      XRAY        1.120    0.11    0.13
5KNHI       112      XRAY        1.600    0.17    0.20
4CA1A       195      XRAY        1.580    0.14    0.19
1ZK5A       176      XRAY        1.400    0.19    0.20
4GMQA       103      XRAY        1.300    0.15    0.19
4E6FA       181      XRAY        1.490    0.16    0.18
2E3HA        90      XRAY        1.450    0.19    0.21
1WPNA       188      XRAY        1.300    0.14    0.17
3ML1B       135      XRAY        1.600    0.16    0.19
2NMLA       104      XRAY        1.550    0.20    0.24
4XDUA       340      XRAY        1.350    0.17    0.19
5A1IA       395      XRAY        1.090    0.10    0.12
5HHJA       305      XRAY        1.200    0.12    0.15
3IUOA       122      XRAY        1.600    0.19    0.22
3LGBA       194      XRAY        1.540    0.15    0.16
1VZMA        45      XRAY        1.400    0.19    0.23
3ROFA       158      XRAY        1.030    0.15    0.17
2XETA        89      XRAY        1.600    0.17    0.21
4OE9A       121      XRAY        1.550    0.14    0.17
3IKWA       374      XRAY        1.300    0.19    0.21
5BR4A       391      XRAY        0.910    0.13    0.15
1RV9A       259      XRAY        1.530    0.20    0.21
1E5KA       201      XRAY        1.350    0.18    0.21
3OV9A       245      XRAY        1.600    0.22    0.25
2XHGA       466      XRAY        1.500    0.16    0.18
5DHDA       100      XRAY        1.270    0.20    0.20
5HQHA       109      XRAY        1.320    0.16    0.19
4JK8A       222      XRAY        1.150    0.14    0.16
3IEZA       114      XRAY        1.500    0.21    0.26
3K7PA       179      XRAY        1.400    0.22    0.23
2DDXA       333      XRAY        0.860    0.14    0.15
5G38A       172      XRAY        1.150    0.16    0.18
1WPUA       147      XRAY        1.480    0.21    0.24
5JUGA       168      XRAY        0.960    0.12    0.14
4BYZA       194      XRAY        1.550    0.15    0.20
1U07A        90      XRAY        1.130    0.14    0.18
1DK8A       147      XRAY        1.570    0.17    0.20
5K1PA       274      XRAY        1.500    0.17    0.20
3KXTA        56      XRAY        1.600    0.18    0.22
3GKJA       232      XRAY        1.600    0.18    0.20
2NR7A       195      XRAY        1.300    0.16    0.20
4O6UA       184      XRAY        0.890    0.12    0.13
1SZHA       161      XRAY        1.500    0.21    0.23
3IOHA       298      XRAY        1.250    0.15    0.18
4MM2A       414      XRAY        1.600    0.26    0.29
3VSVA       638      XRAY        1.480    0.15    0.17
5DGJA       188      XRAY        1.000    0.14    0.15
4EBGA       101      XRAY        1.200    0.14    0.17
1MUWA       386      XRAY        0.860    0.13    0.14
4FR9A       144      XRAY        1.200    0.15    0.17
4MAKA        94      XRAY        1.100    0.14    0.17
4Z47A       204      XRAY        1.450    0.14    0.20
1MNNA       340      XRAY        1.400    0.20    0.21
5DRGA       250      XRAY        1.140    0.14    0.17
5CKLA       188      XRAY        0.990    0.11    0.12
2PRVA       153      XRAY        1.300    0.14    0.17
4ZGFA       141      XRAY        1.000    0.12    0.14
1F8EA       388      XRAY        1.400    0.19    0.22
1KAFA       108      XRAY        1.600    0.23    0.26
4P3AA        79      XRAY        1.400    0.15    0.17
2RBDA       171      XRAY        1.540    0.16    0.19
1KQPA       271      XRAY        1.030    0.11    0.14
5HJ9A       330      XRAY        1.280    0.15    0.16
5AOTA       106      XRAY        1.020    0.17    0.17
3BT5A       177      XRAY        1.350    0.16    0.19
3H4TA       404      XRAY        1.150    0.17    0.18
5TSQA       312      XRAY        1.530    0.15    0.17
3G5TA       299      XRAY        1.120    0.12    0.14
4ZBHA       146      XRAY        1.500    0.16    0.20
4JTMA        81      XRAY        1.430    0.19    0.22
4FBJA       261      XRAY        1.600    0.17    0.24
1YBKA        52      XRAY        1.450    0.21    0.23
3IARA       367      XRAY        1.520    0.15    0.18
3KS3A       260      XRAY        0.900    0.14    0.14
3NO7A        80      XRAY        1.400    0.20    0.21
5BU1A       297      XRAY        1.600    0.16    0.20
4EVUA        72      XRAY        1.450    0.13    0.17
2NWFA       141      XRAY        1.100    0.12    0.14
2QFAB        62      XRAY        1.400    0.19    0.20
3ZZSA        65      XRAY        1.490    0.15    0.18
4CFQQ        45      XRAY        1.370    0.16    0.19
1T4BA       367      XRAY        1.600    0.17    0.20
3WWLA        54      XRAY        1.200    0.15    0.15
3EYEA       168      XRAY        1.450    0.19    0.22
3IMKA       158      XRAY        1.450    0.15    0.18
2P8IA       117      XRAY        1.400    0.14    0.17
4C6AA       154      XRAY        1.250    0.16    0.17
4WE2A       277      XRAY        1.500    0.18    0.21
3Q46A       178      XRAY        0.990    0.11    0.12
5F5NA       289      XRAY        1.300    0.14    0.17
5IVBA       330      XRAY        1.390    0.18    0.21
2RBKA       261      XRAY        1.000    0.12    0.15
4GVQA       316      XRAY        1.300    0.14    0.16
3NY3A        75      XRAY        1.600    0.19    0.21
5IDBA       142      XRAY        1.000    0.12    0.14
4BGCA       102      XRAY        1.200    0.17    0.20
4U6OA       166      XRAY        1.300    0.21    0.23
3GE3C        84      XRAY        1.520    0.17    0.19
4WY4A        64      XRAY        1.400    0.14    0.18
4P0ZA       149      XRAY        1.350    0.17    0.20
1X6OA       174      XRAY        1.600    0.18    0.21
5T46B        66      XRAY        1.530    0.14    0.16
5BOBA       226      XRAY        1.500    0.16    0.19
1W53A        84      XRAY        1.600    0.20    0.23
2V89A        82      XRAY        1.100    0.12    0.15
3NO0A       276      XRAY        1.300    0.17    0.19
3SRIA       381      XRAY        1.600    0.18    0.20
1H2CA       140      XRAY        1.600    0.17    0.18
3NRFA       106      XRAY        1.500    0.19    0.22
1GWMA       153      XRAY        1.150    0.13    0.16
2OZNA       165      XRAY        1.600    0.21    0.25
3M5QA       357      XRAY        0.930    0.12    0.13
2V7FA       150      XRAY        1.150    0.14    0.15
1G8QA        90      XRAY        1.600    0.19    0.24
3SU6A       203      XRAY        1.100    0.15    0.17
5UEBA       147      XRAY        1.500    0.16    0.18
2II2A       310      XRAY        1.100    0.20    0.23
4BFOA       106      XRAY        1.180    0.16    0.17
2EV1A       222      XRAY        1.600    0.19    0.22
4AC7C       570      XRAY        1.500    0.12    0.15
3DHAA       254      XRAY        0.950    0.13    0.17
4HI8B        72      XRAY        1.200    0.14    0.17
3KU3B       174      XRAY        1.600    0.20    0.23
2BAYA        61      XRAY        1.500    0.18    0.20
4CJ0B        81      XRAY        1.100    0.11    0.12
2H8EA       120      XRAY        1.200    0.18    0.19
5EP6A        47      XRAY        1.450    0.19    0.22
1Q5YA        85      XRAY        1.400    0.16    0.22
5D8VA        83      XRAY        0.480    0.07    0.08
4LWRA       196      XRAY        1.100    0.15    0.18
3NZLA        83      XRAY        1.200    0.15    0.18
3JTZA        88      XRAY        1.300    0.21    0.24
5BY8A       231      XRAY        1.520    0.15    0.19
3NUFA       119      XRAY        1.380    0.17    0.19
2JE6A       277      XRAY        1.600    0.22    0.25
4HWMA       130      XRAY        1.380    0.15    0.18
3WS7A       306      XRAY        1.180    0.17    0.19
4YTWB       184      XRAY        1.400    0.22    0.24
4TXRA       163      XRAY        1.000    0.16    0.18
4F2LA        61      XRAY        1.500    0.18    0.21
1BYIA       224      XRAY        0.970    0.12    1.00
4OI3A        89      XRAY        1.300    0.15    0.17
5UOUA       166      XRAY        1.500    0.17    0.20
3B9WA       407      XRAY        1.300    0.15    0.17
2AXWA       134      XRAY        1.050    0.15    0.17
4UE8A       184      XRAY        1.100    0.15    0.16
2V9LA       274      XRAY        1.230    0.09    0.12
3DFGA       162      XRAY        1.500    0.20    0.23
3ZBDA       113      XRAY        1.490    0.18    0.21
4E4RA       331      XRAY        1.440    0.13    0.18
3FGHA        67      XRAY        1.350    0.19    0.21
2IA1A       178      XRAY        1.590    0.17    0.19
2IP6A       112      XRAY        1.350    0.21    0.23
1S29A        92      XRAY        1.600    0.23    0.25
3IPJA        95      XRAY        1.200    0.14    0.17
5F8ZA       239      XRAY        1.500    0.18    0.22
3C9UA       342      XRAY        1.480    0.20    0.22
5C17A       209      XRAY        1.240    0.14    0.16
4WWBA       118      XRAY        1.110    0.11    0.12
2NUHA       118      XRAY        1.390    0.20    0.20
1M22A       503      XRAY        1.400    0.18    0.20
4HC9A       115      XRAY        1.600    0.18    0.22
2I5VO       251      XRAY        1.100    0.16    0.17
2IT2A       200      XRAY        1.500    0.25    0.27
3SZVA       401      XRAY        1.450    0.18    0.20
3VMKA       375      XRAY        1.480    0.20    0.23
4WDCA       179      XRAY        1.290    0.12    0.15
3Q1CA       360      XRAY        1.600    0.16    0.19
2OKFA       140      XRAY        1.600    0.14    0.15
4F54A       197      XRAY        1.600    0.17    0.20
5EHIA       276      XRAY        1.300    0.19    0.21
1TZPA       255      XRAY        1.400    0.18    0.21
4H14A       290      XRAY        1.550    0.16    0.18
2OVJA       201      XRAY        1.490    0.15    0.18
3BEIA        44      XRAY        1.550    0.19    0.21
4WPKA       238      XRAY        0.980    0.14    0.15
1USMA        80      XRAY        1.200    0.21    0.23
4IL7A       166      XRAY        1.400    0.14    0.17
5GPIB       178      XRAY        1.580    0.17    0.20
5A0YA       550      XRAY        1.100    0.11    0.13
4F98A        69      XRAY        1.260    0.14    0.17
2DS5A        51      XRAY        1.500    0.19    0.22
2JFRA       234      XRAY        0.830    0.10    0.12
2ILKA       160      XRAY        1.600    0.16    1.00
1P6OA       161      XRAY        1.140    0.11    0.15
1RYQA        69      XRAY        1.380    0.19    0.20
5U4NA       362      XRAY        1.600    0.15    0.17
5ML3B       149      XRAY        1.400    0.19    0.20
3SP7A       172      XRAY        1.400    0.17    0.18
2DWUA       276      XRAY        1.600    0.16    0.19
1X8QA       184      XRAY        0.850    0.10    0.13
2XODA       119      XRAY        0.960    0.12    0.15
1YLXA       103      XRAY        1.600    0.23    0.25
3U6GA       126      XRAY        1.350    0.16    0.21
4E74A       117      XRAY        1.580    0.20    0.22
4W64A       171      XRAY        1.550    0.17    0.20
1IX9A       205      XRAY        0.900    0.11    0.13
3RX9A       155      XRAY        1.350    0.14    0.16
2HBAA        52      XRAY        1.250    0.14    0.16
2IUMA       248      XRAY        1.600    0.18    0.21
5B1AL        47      XRAY        1.500    0.15    0.17
4ABLA       183      XRAY        1.150    0.16    0.19
1UNQA       125      XRAY        0.980    0.15    0.18
1J3WA       163      XRAY        1.500    0.21    0.22
4KXVA       637      XRAY        0.970    0.10    0.11
1VYIA       112      XRAY        1.500    0.17    0.20
1DP7P        76      XRAY        1.500    0.19    0.23
4U9HL       533      XRAY        0.890    0.10    0.11
4YMYA       174      XRAY        1.000    0.12    0.14
5I5NA       154      XRAY        1.420    0.18    0.19
4OUSA       143      XRAY        1.050    0.15    0.16
4UHQA       136      XRAY        1.500    0.17    0.19
5HTLA       145      XRAY        1.370    0.20    0.22
2CIWA       299      XRAY        1.150    0.15    0.17
5BPKA       379      XRAY        1.490    0.14    0.18
5IG6A       115      XRAY        0.910    0.13    0.14
3JSYA       213      XRAY        1.600    0.23    0.23
2BO9B       222      XRAY        1.600    0.15    0.18
4FTFA       112      XRAY        1.480    0.16    0.18
5GQIA       247      XRAY        1.300    0.14    0.17
4MBYA       278      XRAY        1.480    0.17    0.19
1M0KA       262      XRAY        1.430    0.13    0.18
2IBLA       130      XRAY        1.320    0.16    0.17
1WTJA       343      XRAY        1.550    0.19    0.21
3JQ0A       493      XRAY        1.130    0.12    0.14
2Z51A       154      XRAY        1.350    0.14    0.17
1T61A       229      XRAY        1.500    0.20    0.20
4UE0A       122      XRAY        1.170    0.12    0.15
4GZCA       180      XRAY        1.300    0.21    0.23
1XMTA       103      XRAY        1.150    0.15    0.17
4M8AA        72      XRAY        1.500    0.17    0.20
3ORUA       234      XRAY        1.110    0.13    0.15
1X2IA        75      XRAY        1.450    0.22    0.24
4K12A        64      XRAY        1.080    0.15    0.17
2WUJA        57      XRAY        1.400    0.19    0.22
4JQFA       179      XRAY        1.600    0.20    0.22
2WZOA       146      XRAY        1.600    0.18    0.20
3JXOA        86      XRAY        1.550    0.16    0.19
4RXVA       229      XRAY        1.100    0.12    0.14
5L2LA        77      XRAY        1.550    0.13    0.15
4QMDA       193      XRAY        1.600    0.17    0.20
2I5UA        83      XRAY        1.500    0.18    0.23
3A9SA       595      XRAY        1.600    0.17    0.19
2NNUA       205      XRAY        1.590    0.20    0.23
3NHEA       348      XRAY        1.260    0.17    0.19
4DOIA       246      XRAY        1.550    0.18    0.20
1DY5A       124      XRAY        0.870    0.10    0.12
3T3LA       129      XRAY        1.150    0.17    0.18
2NLVA       112      XRAY        1.300    0.18    0.20
3WH2A       147      XRAY        1.300    0.13    0.16
4G9SB       111      XRAY        0.950    0.13    0.14
3TG0A       449      XRAY        1.200    0.15    0.17
2RA9A       150      XRAY        1.400    0.16    0.20
4KM6A       208      XRAY        1.550    0.17    0.20
1O7JA       327      XRAY        1.000    0.11    0.13
1A62A       130      XRAY        1.550    0.22    0.25
5HWKA       240      XRAY        1.340    0.16    0.19
1LLFA       534      XRAY        1.400    0.14    0.17
1UGIA        84      XRAY        1.550    0.22    0.29
3QZBA       143      XRAY        1.100    0.13    0.15
2V3IA       434      XRAY        1.050    0.12    0.14
3ZZOA        95      XRAY        1.150    0.13    0.15
4W79A       202      XRAY        1.500    0.14    0.17
2R01A       210      XRAY        1.150    0.15    0.17
3NDHA       225      XRAY        1.300    0.17    0.18
4B0ZA       229      XRAY        1.580    0.19    0.23
4PDNA       190      XRAY        1.450    0.15    0.17
3D9XA       163      XRAY        1.130    0.16    0.18
5GV0A       168      XRAY        1.500    0.18    0.20
4B1YB       376      XRAY        1.290    0.15    0.17
4YECB       236      XRAY        1.120    0.16    0.19
4J7QA       333      XRAY        1.550    0.22    0.24
1EGWA        77      XRAY        1.500    0.21    0.23
5A6WC        93      XRAY        1.600    0.18    0.20
2WQ4A       156      XRAY        1.420    0.13    0.17
3A57A       165      XRAY        1.500    0.13    0.17
3Q7CA       243      XRAY        1.500    0.19    0.22
5BOWA       151      XRAY        1.310    0.14    0.16
1NYCA       111      XRAY        1.400    0.20    0.23
4W8QA       242      XRAY        1.430    0.14    0.16
4ZCEA        50      XRAY        1.550    0.17    0.19
2J8KA       201      XRAY        1.500    0.17    0.18
3RIQA       543      XRAY        1.500    0.13    0.17
1RO2A       216      XRAY        1.600    0.25    0.27
3PP5A        73      XRAY        1.500    0.16    0.18
2C71A       216      XRAY        1.050    0.12    0.14
5A67A       212      XRAY        1.300    0.14    0.17
3SBMA       281      XRAY        1.350    0.16    0.17
4NDSA        94      XRAY        1.000    0.11    0.12
4A29A       258      XRAY        1.100    0.12    0.14
3H9MA       436      XRAY        1.570    0.17    0.19
2DKOA       146      XRAY        1.060    0.14    0.17
3X34A        94      XRAY        0.760    0.11    0.13
4YE7A       110      XRAY        1.400    0.18    0.21
2D1SA       548      XRAY        1.300    0.18    0.20
4HM8B       194      XRAY        1.300    0.17    0.19
2JC9A       555      XRAY        1.500    0.16    0.19
4XTBA       123      XRAY        1.500    0.14    0.18
2RH2A        62      XRAY        0.960    0.10    0.12
3U5SA       126      XRAY        1.500    0.21    0.24
